订单ID,门店城市,购买渠道,性别,年龄,购买日期,商品编号,收益总额,订单量,商品量
34495,深圳,线下,女,26,2020-09-22,No.277,803,4,4
32073,杭州,线下,女,25,2020-09-23,No.305,151,1,1
39998,深圳,线下,男,61,2020-09-23,No.005,179,2,2
51661,深圳,线下,女,26,2020-09-24,No.005,60,1,1
34743,深圳,线下,男,23,2020-09-27,No.343,66,2,3
13216,武汉,线上,女,35,2020-09-27,No.005,99,1,1
25700,杭州,线下,女,25,2020-09-26,No.906,33,1,1
10681,杭州,线下,男,60,2020-09-27,No.005,161,2,2
45526,杭州,线下,女,32,2020-09-26,No.782,158,3,3
46158,北京,线下,女,49,2020-09-27,No.173,202,1,1
22934,北 京,线下,男,23,2020-09-27,No.902,150,1,1
42746,北 京,线下,女,21,2020-09-24,No.005,130,1,1
18717,杭州,线下,女,37,2020-09-26,No.277,2091,12,12
52570,深圳,线下,男,30,2020-09-26,No.005,81,1,1
49341,&nbsp南京,线下,男,24,2020-09-27,No.005,60,1,1
26151,深圳,线下,男,32,2020-09-27,No.906,33,1,1
41225,武汉,线上,男,39,2020-09-27,No.906,79,2,2
46082,杭州,线下,男,34,2020-09-24,No.343,19,1,1
41337,北 京,线下,女,31,2020-09-26,No.005,100,1,1
30962,深圳,线下,女,35,2020-09-21,No.782,199,3,4
35659,南京 ,线上,男,64,2020-09-24,No.005,39,1,1
26090,北 京,线下,男,28,2020-09-26,No.005,60,1,1
51131,&nbsp南京,线下,女,38,2020-09-25,No.906,40,1,1
16448,南京,线下,女,38,2020-09-27,No.005,179,4,4
51936,南京 ,线下,女,36,2020-09-26,No.005,117,3,3
23656,南京 ,线上,女,47,2020-09-25,No.277,81,1,1
13265,深圳,线下,女,32,2020-09-22,No.902,60,1,1
52210,杭州,线下,女,29,2020-09-25,No.005,80,1,1
28243,北 京,线下,女,26,2020-09-21,No.343,80,1,1
53842,杭州,线下,女,21,2020-09-24,No.906,33,1,1
32347,北 京,线上,女,50,2020-09-27,No.906,107,2,3
41682,武汉,线上,男,29,2020-09-26,No.005,100,1,1
30288,深圳,线下,女,39,2020-09-21,No.005,80,1,1
26167,上海,线下,女,31,2020-09-26,No.277,49,1,1
28701,&nbsp南京,线下,男,64,2020-09-22,No.005,80,1,1
30466,上海,线下,男,26,2020-09-22,No.173,196,1,1
32610,深圳,线下,女,27,2020-09-26,No.277,202,1,1
12821,南京 ,线下,男,34,2020-09-21,No.277,55,1,1
27449,杭州,线下,女,39,2020-09-22,No.343,20,1,1
54562,武汉,线上,男,34,2020-09-25,No.906,33,1,1
38201,南京,线下,女,49,2020-09-23,No.173,203,2,2
21400,武汉,线下,女,35,2020-09-24,No.005,60,1,1
23174,杭州,线下,男,28,2020-09-26,No.277,55,1,1
38811,深圳,线下,女,42,2020-09-21,No.277,296,2,2
11960,武汉,线下,女,28,2020-09-26,No.005,79,1,1
23289,深圳,线下,女,64,2020-09-26,No.902,447,3,6
39577,上海,线下,女,23,2020-09-22,No.277,78,1,1
13158,杭州,线下,女,49,2020-09-23,No.277,54,1,1
42148,杭州,线下,男,39,2020-09-23,No.277,75,1,1
37612,上海,线上,女,23,2020-09-26,No.005,100,1,1
31038,武汉,线上,女,50,2020-09-26,No.005,99,1,1
33717,武汉,线下,男,68,2020-09-27,No.906,33,1,1
40791,深圳,线下,女,29,2020-09-23,No.906,33,1,1
21649,上海,线下,女,52,2020-09-27,No.277,80,1,1
40772,北/京,线下,男,38,2020-09-27,No.577,79,1,1
27726,武汉,线下,女,36,2020-09-27,No.005,101,1,1
47249,北 京,线下,女,31,2020-09-27,No.277,204,1,1
46958,杭州,线下,女,66,2020-09-26,No.902,78,1,1
11078,&nbsp南京,线下,男,25,2020-09-27,No.005,80,1,1
27263,深圳,线下,女,33,2020-09-25,No.906,66,2,2
29800,深圳,线下,女,32,2020-09-22,No.906,81,1,1
44843,杭州,线下,女,32,2020-09-27,No.005,99,1,1
50247,南京,线下,女,37,2020-09-26,No.005,200,2,2
50396,北 京,线下,女,68,2020-09-21,No.782,200,1,1
39496,深圳,线下,女,24,2020-09-22,No.005,262,2,3
19094,北 京,线下,女,21,2020-09-23,No.005,60,1,1
47323,武汉,线下,女,20,2020-09-27,No.173,202,1,1
31285,深圳,线下,女,34,2020-09-21,No.005,81,1,1
20521,上海,线下,女,38,2020-09-26,No.902,150,1,1
27752,深圳,线下,女,32,2020-09-23,No.005,59,1,1
54585,杭州,线下,男,33,2020-09-25,No.005,79,1,1
26647,杭州,线下,女,34,2020-09-26,No.005,80,1,1
19692,上海,线下,女,32,2020-09-23,No.906,33,1,1
23780,武汉,线下,男,26,2020-09-24,No.277,57,1,1
36430,杭州,线下,男,24,2020-09-25,No.005,81,1,1
42825,深圳,线下,男,62,2020-09-25,No.005,79,1,1
20480,北 京,线下,女,22,2020-09-23,No.005,39,1,1
48382,南京 ,线下,女,63,2020-09-26,No.173,0,1,1
51737,北 京,线下,保密,保密,2020-09-27,No.005,100,1,1
27170,杭州,线下,女,42,2020-09-23,No.277,77,1,1
17291,&nbsp南京,线下,男,60,2020-09-24,No.005,59,1,1
14402,杭州,线下,男,35,2020-09-26,No.343,81,2,4
41880,武汉,线下,女,27,2020-09-22,No.005,135,2,2
17225,武汉,线下,男,27,2020-09-23,No.343,80,1,1
35011,北/京,线下,男,31,2020-09-22,No.005,502,1,2
47056,深圳,线下,女,20,2020-09-23,No.005,161,2,2
24403,南京 ,线下,女,37,2020-09-22,No.277,78,1,1
37943,武汉,线上,男,44,2020-09-24,No.277,81,1,1
40702,&nbsp南京,线下,女,31,2020-09-26,No.005,79,1,1
28699,武汉,线上,女,25,2020-09-26,No.005,79,1,1
40204,杭州,线下,男,34,2020-09-26,No.005,100,1,1
42518,深圳,线下,女,59,2020-09-21,No.906,41,1,1
38729,北/京,线下,女,26,2020-09-24,No.005,79,1,1
32560,深圳,线下,女,37,2020-09-27,No.005,160,2,2
24100,北 京,线下,女,34,2020-09-24,No.782,78,2,2
38462,武汉,线上,男,62,2020-09-22,No.277,49,1,1
50981,深圳,线下,女,31,2020-09-23,No.277,76,1,1
35457,南京 ,线上,女,35,2020-09-23,No.005,161,2,2
30147,北 京,线下,男,23,2020-09-27,No.277,99,1,1
53459,上海,线下,女,23,2020-09-26,No.343,79,1,1
30583,杭州,线下,女,67,2020-09-24,No.005,39,1,1
36724,杭州,线下,男,37,2020-09-21,No.277,402,2,2
35578,南京 ,线下,男,34,2020-09-27,No.005,101,1,1
27766,北 京,线上,女,29,2020-09-24,No.005,81,1,1
41764,南京 ,线上,女,20,2020-09-27,No.005,121,2,2
17771,&nbsp南京,线上,女,38,2020-09-21,No.005,78,2,2
17280,&nbsp南京,线下,女,33,2020-09-23,No.277,55,1,1
25297,北/京,线下,女,49,2020-09-26,No.277,141,1,1
37893,武汉,线下,女,31,2020-09-21,No.305,39,1,1
53588,深圳,线下,女,34,2020-09-26,No.343,40,2,2
40740,杭州,线下,男,20,2020-09-27,No.005,202,1,1
45535,上海,线下,女,34,2020-09-27,No.005,79,1,1
40914,深圳,线下,男,24,2020-09-27,No.005,79,1,1
29981,武汉,线上,女,29,2020-09-26,No.005,408,3,3
54547,深圳,线下,男,44,2020-09-26,No.005,60,1,1
47494,武汉,线下,男,54,2020-09-27,No.005,101,1,1
17241,深圳,线下,女,51,2020-09-27,No.005,199,1,2
29497,武汉,线上,男,69,2020-09-27,No.343,27,1,1
32485,杭州,线下,女,66,2020-09-24,No.005,159,2,2
31631,杭州,线下,女,33,2020-09-25,No.343,39,1,1
49338,南京 ,线上,女,31,2020-09-24,No.782,39,1,1
30014,杭州,线下,女,30,2020-09-24,No.577,200,1,1
16213,&nbsp南京,线下,女,45,2020-09-26,No.902,79,1,1
51091,深圳,线下,保密,保密,2020-09-25,No.343,79,1,1
36029,&nbsp南京,线下,女,28,2020-09-21,No.906,39,1,1
48688,杭州,线下,女,23,2020-09-26,No.343,59,2,2
41783,杭州,线下,男,29,2020-09-26,No.005,81,1,1
14779,上海,线下,女,45,2020-09-24,No.782,202,1,1
14368,南京 ,线下,女,42,2020-09-27,No.005,60,1,1
45013,深圳,线下,女,39,2020-09-27,No.005,59,1,1
10742,深圳,线下,女,21,2020-09-27,No.005,95,1,1
39796,深圳,线下,女,47,2020-09-26,No.902,140,2,2
42716,&nbsp南京,线上,男,35,2020-09-25,No.005,79,1,1
23589,北 京,线下,女,30,2020-09-25,No.577,394,2,2
38550,上海,线下,男,28,2020-09-23,No.277,80,1,1
40320,武汉,线下,女,34,2020-09-26,No.902,81,1,1
23022,深圳,线下,女,69,2020-09-25,No.005,81,1,1
30275,&nbsp南京,线下,女,23,2020-09-23,No.343,27,1,1
10588,北/京,线下,女,39,2020-09-24,No.782,60,1,1
47157,武汉,线下,女,31,2020-09-25,No.005,159,1,2
15682,&nbsp南京,线下,女,28,2020-09-27,No.005,100,1,1
25357,杭州,线下,男,27,2020-09-22,No.277,55,1,1
31129,武汉,线下,女,50,2020-09-25,No.005,157,1,2
40193,杭州,线下,女,47,2020-09-25,No.906,38,1,1
35947,上海,线上,女,37,2020-09-22,No.782,39,1,1
40168,南京 ,线下,女,40,2020-09-21,No.005,251,1,1
47605,深圳,线下,女,47,2020-09-27,No.005,101,1,1
10997,深圳,线下,女,50,2020-09-24,No.343,79,1,1
29706,杭州,线下,男,25,2020-09-21,No.906,33,1,1
33660,深圳,线下,女,30,2020-09-25,No.343,67,1,3
28083,上海,线下,女,31,2020-09-26,No.005,665,4,4
37064,北/京,线下,女,33,2020-09-26,No.005,101,1,1
31533,深圳,线下,女,59,2020-09-23,No.005,100,1,1
34918,深圳,线下,女,20,2020-09-25,No.005,59,1,1
11952,杭州,线下,男,28,2020-09-25,No.343,26,1,1
39720,深圳,线下,男,67,2020-09-22,No.906,40,1,1
51671,&nbsp南京,线下,男,23,2020-09-22,No.005,158,3,3
15550,武汉,线上,男,26,2020-09-21,No.005,203,2,2
12048,深圳,线下,女,34,2020-09-26,No.343,18,1,1
26434,杭州,线下,女,26,2020-09-26,No.005,162,2,2
30445,&nbsp南京,线下,女,44,2020-09-27,No.277,81,1,1
41371,南京 ,线下,男,50,2020-09-25,No.906,38,1,1
33899,上海,线下,男,38,2020-09-27,No.277,75,1,1
31488,上海,线下,男,60,2020-09-27,No.005,219,2,3
54364,深圳,线下,男,22,2020-09-23,No.005,60,1,1
30622,南京 ,线上,女,29,2020-09-27,No.305,153,1,1
29060,深圳,线下,女,20,2020-09-24,No.902,300,1,2
34522,深圳,线下,女,55,2020-09-24,No.277,77,1,1
47817,北京,线下,女,38,2020-09-23,No.173,460,3,3
32365,&nbsp南京,线下,女,32,2020-09-26,No.305,39,1,1
51514,深圳,线下,女,17,2020-09-26,No.005,100,1,1
26337,武汉,线上,女,27,2020-09-26,No.005,203,2,2
47860,杭州,线下,女,20,2020-09-26,No.277,153,1,1
30347,深圳,线下,女,24,2020-09-23,No.005,101,1,1
10832,杭州,线下,女,49,2020-09-22,No.902,79,1,1
10647,北京,线下,女,45,2020-09-26,No.902,153,1,1
39872,北/京,线下,男,46,2020-09-25,No.343,39,1,2
38786,深圳,线下,女,32,2020-09-26,No.343,154,1,6
20602,深圳,线下,男,33,2020-09-24,No.277,1433,8,8
29224,武汉,线下,男,61,2020-09-24,No.343,40,1,2
18522,深圳,线下,男,68,2020-09-25,No.005,298,3,3
15210,南京 ,线上,男,31,2020-09-25,No.173,557,3,3
32238,北 京,线下,男,47,2020-09-22,No.902,79,1,1
22813,深圳,线下,男,25,2020-09-22,No.782,39,1,1
39459,武汉,线上,女,40,2020-09-22,No.005,81,1,1
10807,南京,线下,女,32,2020-09-27,No.005,81,1,1
23886,北 京,线下,男,29,2020-09-27,No.343,54,1,2
26597,上海,线上,男,31,2020-09-24,No.005,101,1,1
