id,orderID,userID,goodsID,orderAmount,payment,chanelID,platfromType,orderTime,payTime,chargeback
19463,sys-2019-346326629,user-137501,PR000406,863.16,827.05,渠道-0568,Wech atMP,2019-04-10 11:07:57,2019-04-10 11:08:13,否
6614,sys-2019-317029107,user-273292,PR000292,2248.26,2192.63,渠道-0896,APP ,2019-02-01 19:38:54,2019-02-01 19:40:00,否
54200,sys-2019-256348744,user-119905,PR000323,2542.34,2501.47,渠道-0765,WE B ,2019-07-31 21:11:14,2019-07-31 21:12:21,否
4912,sys-2019-294103983,user-117374,PR000499,812.02,812.02,渠道-0896,Wech atMP,2019-01-23 12:56:31,2019-01-23 12:56:51,否
62252,sys-2019-246441229,user-210921,PR000787,1292.73,1190.67,渠道-0896,Wech atMP,2019-08-26 19:16:03,2019-08-26 19:16:19,否
104074,sys-2019-263329818,user-229628,PR000613,567.2,438.71,渠道-0985,Wech atMP,2019-12-31 10:31:28,2019-12-31 10:31:49,否
49715,sys-2019-283136690,user-102411,PR000295,273.92,100.4,渠道-0530,APP ,2019-07-18 00:24:15,2019-07-18 00:25:27,否
95673,sys-2019-342256216,user-269533,PR000603,593.69,593.69,渠道-0765,APP ,2019-12-07 12:41:13,2019-12-07 12:42:18,否
15331,sys-2019-421371764,user-299358,PR000541,321.4,268.65,渠道-9527,AP P ,2019-03-22 12:54:04,2019-03-22 12:54:35,否
26087,sys-2019-275462122,user-240959,PR000609,333.02,213.76,渠道-0896,Wech atMP,2019-05-07 17:14:26,2019-05-07 17:15:16,否
89355,sys-2019-262318583,user-122538,PR000155,255.56,255.56,渠道-0896,Wech atMP,2019-11-20 13:22:12,2019-11-20 13:22:52,否
2935,sys-2019-360094165,user-112398,PR000506,655.71,655.71,渠道-0765,APP ,2019-01-14 07:37:38,2019-01-14 07:38:05,否
78686,sys-2019-293060351,user-190428,PR000378,911.21,833.87,渠道-0985,Wech atMP,2019-10-19 17:00:21,2019-10-19 17:00:30,是
41586,sys-2019-314679988,user-197867,PR000105,502.19,470.46,渠道-0007,We c hatMP,2019-06-22 14:34:04,2019-06-22 14:37:50,否
58082,sys-2019-225288913,user-163953,PR000547,1105.95,1100.76,渠道-0465,APP ,2019-08-14 15:30:48,2019-08-14 15:31:07,否
12117,sys-2019-369474078,user-141211,PR000547,3369.81,3328.07,渠道-9527,We c hatMP,2019-03-04 17:08:25,2019-03-04 17:08:35,否
48820,sys-2019-247445220,user-291796,PR000741,1040.79,1040.79,渠道-0789,Wech atMP,2019-07-15 16:40:07,2019-07-15 16:41:19,是
62413,sys-2019-288966083,user-153025,PR000365,289.18,175.26,渠道-0318,WEB ,2019-08-27 11:35:23,2019-08-27 11:35:42,否
83257,sys-2019-347411035,user-148787,PR000182,324.35,324.35,渠道-0896,APP ,2019-11-03 14:03:27,2019-11-03 14:03:49,否
433,sys-2019-306874553,user-151006,PR000499,719.27,430.06,渠道-9527,We c hatMP,2019-01-02 13:56:35,2019-01-02 13:57:00,否
28086,sys-2019-282774796,user-268391,PR000647,175.14,175.14,渠道-0568,APP ,2019-05-14 14:39:39,2019-05-14 14:44:29,否
102516,sys-2019-329820126,user-178370,PR000613,609.52,5313.458925694717,渠道-0896,WEB ,2019-12-26 16:14:52,2019-12-26 16:16:38,否
1261,sys-2019-311656123,user-113971,PR000393,1605.27,15821.14721731057,渠道-0765,APP ,2019-01-04 21:59:31,2019-01-04 21:59:54,否
80927,sys-2019-248728934,user-198359,PR000977,636.74,556.48,渠道-0007,APP ,2019-10-27 09:17:20,2019-10-27 09:17:45,否
49501,sys-2019-201266959,user-111876,PR000167,801.89,801.89,渠道-0765,Wech atMP,2019-07-17 13:43:17,2019-07-17 13:43:23,否
50310,sys-2019-278060606,user-166448,PR000155,173.76,173.76,渠道-0530,AP P ,2019-07-20 12:46:51,2019-07-20 12:50:55,是
11674,sys-2019-283168713,user-256001,PR000995,430.87,430.87,渠道-0530,Wech atMP,2019-03-02 17:09:33,2019-03-02 17:09:43,否
16613,sys-2019-325471080,user-129797,PR000694,1250.45,1110.0,渠道-0789,We c hatMP,2019-03-28 18:26:10,2019-03-28 18:26:41,是
96379,sys-2019-252845576,user-188229,PR000178,5529.59,5474.12,渠道-0765,Wech atMP,2019-12-08 19:34:34,2019-12-08 19:34:51,否
24409,sys-2019-197048531,user-109673,PR000943,587.69,467.35,渠道-0896,APP ,2019-05-01 16:30:15,2019-05-01 16:30:42,否
87707,sys-2019-304332782,user-195955,PR000190,447.39,447.39,渠道-0530,APP ,2019-11-16 11:43:11,2019-11-16 11:43:23,否
24184,sys-2019-287713289,user-172541,PR000671,329.76,329.76,渠道-0896,Wech atMP,2019-05-01 11:39:01,2019-05-01 11:39:16,否
32686,sys-2019-275736452,user-297679,PR000100,661.2,638.4,渠道-0896,APP ,2019-05-28 14:33:52,2019-05-28 14:34:00,是
91693,sys-2019-356272971,user-294957,PR000611,539.01,479.12,渠道-0896,Wech atMP,2019-11-26 12:57:12,2019-11-26 12:59:09,否
46039,sys-2019-276110119,user-235156,PR000955,480.89,446.4,渠道-0465,AP P ,2019-07-05 14:43:24,2019-07-05 14:44:34,是
35104,sys-2019-285852800,user-149417,PR000475,1699.19,1571.51,渠道-0789,We c hatMP,2019-06-04 17:53:19,2019-06-04 17:55:18,否
27039,sys-2019-304022047,user-100212,PR000895,561.87,522.4,渠道-9527,APP ,2019-05-11 06:19:30,2019-05-11 06:19:42,否
28650,sys-2019-286892763,user-221747,PR000702,141.78,72.09,渠道-0318,APP ,2019-05-15 18:17:41,2019-05-15 18:19:47,否
61414,sys-2019-325750823,user-184896,PR000262,393.15,351.7,渠道-0789,AP P ,2019-08-23 19:45:03,2019-08-23 19:45:49,否
21902,sys-2019-265652153,user-275201,PR000713,271.14,271.14,渠道-0789,ALiM P,2019-04-19 21:49:48,2019-04-19 22:00:45,否
1425,sys-2019-303766750,user-127973,PR000128,364.34,195.14,渠道-0896,APP ,2019-01-05 14:17:38,2019-01-05 14:17:56,否
38360,sys-2019-341598174,user-229987,PR000396,843.68,566.75,渠道-0896,AP P ,2019-06-12 21:20:34,2019-06-12 21:23:14,否
57177,sys-2019-293382246,user-156416,PR000267,1367.89,1255.77,渠道-0985,Wech atMP,2019-08-11 19:36:59,2019-08-11 19:37:10,否
63,sys-2019-388366344,user-173950,PR000899,568.93,568.93,渠道-0283,Wech atMP,2019-01-01 12:11:50,2019-01-01 12:13:30,否
39289,sys-2019-217845155,user-266647,PR000459,623.24,524.57,渠道-0896,APP ,2019-06-16 12:31:45,2019-06-16 12:32:04,否
54767,sys-2019-247487300,user-149171,PR000951,2549.82,2271.99,渠道-0191,Wech atMP,2019-08-02 18:08:11,2019-08-02 18:08:34,否
91520,sys-2019-264063058,user-293835,PR000036,1075.6,1029.34,渠道-0191,Wech atMP,2019-11-25 20:22:39,2019-11-25 20:22:52,否
35597,sys-2019-298450509,user-213456,PR000835,515.01,505.13,渠道-0007,AP P ,2019-06-05 19:18:14,2019-06-05 19:19:00,否
13385,sys-2019-349545477,user-111337,PR000004,3179.02,3148.58,渠道-0985,Wech atMP,2019-03-11 22:14:15,2019-03-11 22:16:01,否
63667,sys-2019-186163544,user-144082,PR000752,3398.22,3246.27,渠道-0396,APP ,2019-08-31 13:09:09,2019-08-31 13:09:19,否
84046,sys-2019-278776802,user-155675,PR000269,1548.61,1497.42,渠道-0985,APP ,2019-11-05 20:07:14,2019-11-05 20:07:33,否
19990,sys-2019-320731986,user-149536,PR000910,506.07,506.07,渠道-0465,AP P ,2019-04-12 11:18:58,2019-04-12 11:19:16,是
55473,sys-2019-290613097,user-107609,PR000268,2113.86,1962.23,渠道-0318,APP ,2019-08-04 19:52:13,2019-08-04 19:52:23,否
